"Format","AIM CSV File"
"Venue","Lot 75 AutoX"
"Vehicle","2018"
"User","Mason"
"Data Source","AIM Data Logger"
"Comment",""
"Date","10/16/23"
"Time","18:46:34"
"Sample Rate","50"
"Duration","193.853"
"Segment","Session"
"Beacon Markers","20.215, 40.221, 60.124, 79.813, 99.500, 118.927, 193.853"
"Segment Times","0:20.215","0:20.006","0:19.903","0:19.689","0:19.687","0:19.427","1:14.926"

"Time","Distance","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","BrakePressure_0","BrakePressure_1","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Logger Temperature","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Int Batt Voltage","RPM","BrakePressure_0","BrakePressure_1","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","°F","g","g","g","deg/s","deg/s","deg/s","V","rpm","bar","bar","mph","#","g","g","deg","deg","deg/s","m","#","#","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24",

0.280,0.014,66.537498,-1.081990,0.251751,-0.712197,-9.464064,0.379471,-31.867826,3.666705,0.000000,11.762291,3.528195,34.435772,18.000000,-1.151024,-0.297438,-1.701536,-49.039387,-40.648930,186.839218,0.680000,0.162600,42.785422195576,-86.090678064223,189.28
0.300,0.015,66.537498,-1.081627,0.287639,-0.711744,-9.475279,0.454878,-31.996874,3.666862,0.000000,8.778846,2.396903,34.274216,18.000000,-1.153445,-0.285967,-1.785188,-49.885075,-40.942284,186.824554,0.680000,0.158600,42.785423908452,-86.090680924125,189.26
0.320,0.016,66.537498,-1.080745,0.327135,-0.711267,-9.486666,0.513924,-32.162567,3.667019,0.000000,5.860473,1.207436,34.112659,18.000000,-1.155867,-0.274495,-1.868840,-50.730762,-41.235638,186.809906,0.680000,0.154600,42.785425534099,-86.090683836533,189.25
0.340,0.017,66.537498,-1.080162,0.368487,-0.710155,-9.485018,0.570503,-32.453407,3.667176,0.000000,2.942100,0.017970,33.951103,18.000000,-1.158289,-0.263023,-1.952492,-51.576447,-41.528992,186.795242,0.680000,0.150600,42.785427155155,-86.090686751703,189.24
0.360,0.018,66.537498,-1.080084,0.403097,-0.709139,-9.471466,0.591309,-32.740448,3.667333,0.000000,1.475392,-0.540574,33.863487,18.000000,-1.163419,-0.259569,-2.010819,-52.437717,-41.911957,186.788620,0.680000,0.150000,42.785428733679,-86.090689692064,189.23
0.380,0.019,66.537498,-1.081771,0.427071,-0.708577,-9.449111,0.588508,-33.074467,3.667490,0.000000,0.264860,-0.987779,33.788925,18.000000,-1.169028,-0.257529,-2.064677,-53.301739,-42.310734,186.783401,0.680000,0.150000,42.785430260218,-86.090692663214,189.22
0.400,0.019,66.537498,-1.085362,0.443634,-0.707255,-9.418813,0.565834,-33.417549,3.667646,0.000000,-0.572177,-1.206113,33.714359,18.000000,-1.174636,-0.255490,-2.118535,-54.165760,-42.709515,186.778183,0.680000,0.150000,42.785431786758,-86.090695634364,189.22
0.420,0.020,66.537498,-1.090120,0.454887,-0.705798,-9.387752,0.532375,-33.762295,3.667804,0.000000,-0.715579,-0.999399,33.639797,18.000000,-1.180245,-0.253450,-2.172393,-55.029781,-43.108292,186.772980,0.680000,0.150000,42.785433215491,-86.090698657144,189.22
0.440,0.021,66.537498,-1.095838,0.460766,-0.703916,-9.363035,0.501563,-34.132179,3.667960,0.000000,-0.858982,-0.792686,33.565231,18.000000,-1.185853,-0.251411,-2.226251,-55.893799,-43.507069,186.767761,0.680000,0.150000,42.785434639077,-86.090701682641,189.21
0.460,0.022,66.537498,-1.101697,0.461620,-0.702374,-9.339844,0.482596,-34.453430,3.668117,0.000000,-0.834955,-0.731741,33.469540,18.000000,-1.189187,-0.256739,-2.209005,-56.746132,-43.847408,186.761185,0.680000,0.148300,42.785436014702,-86.090704730986,189.20
