Elapsed_Time,Time (s),Distance [feet],Logger Temperature [∞F],AccelerometerX [g],AccelerometerY [g],AccelerometerZ [g],GyroX [deg/s],GyroY [deg/s],GyroZ [deg/s],Int Batt Voltage [V],RPM [rpm],BrakePressure_0 [bar],BrakePressure_1 [bar],GPS_Speed [mph],GPS_Nsat [#],GPS_LatAcc [g],GPS_LonAcc [g],GPS_Slope [deg],GPS_Heading [deg],GPS_Gyro [deg/s],GPS_Altitude [m],GPS_PosAccuracy [#],GPS_SpdAccuracy [#],GPS_Latitude [∞],GPS_Longitude [∞],GPS_Elevation [cm]
 01.14.926,0,0,60.8,-0.93,0.457,-0.726,-10.022,-0.737,-31.802,3.675,0,-0.729,-0.647,35.54,18,-1.305,-0.18,-2.099,-36.213,-45.126,187.245,0.718,0.17,42.78539813,-86.09063346,189.69
,0.02,1.04,60.8,-0.963,0.476,-0.713,-9.933,-0.78,-32.669,3.675,0,-0.738,-0.609,35.465,18,-1.303,-0.165,-2.116,-37.039,-45.071,187.216,0.72,0.17,42.78540029,-86.09063595,189.66
,0.04,2.07,60.8,-0.996,0.494,-0.7,-9.83,-0.808,-33.494,3.675,0,-0.762,-0.622,35.391,18,-1.304,-0.162,-2.154,-37.914,-45.145,187.191,0.72,0.17,42.78540239,-86.09063851,189.62
,0.06,3.15,60.8,-1.029,0.512,-0.687,-9.717,-0.826,-34.267,3.674,0,-0.788,-0.636,35.313,18,-1.305,-0.159,-2.193,-38.834,-45.222,187.165,0.72,0.17,42.7854046,-86.0906412,189.59
,0.08,4.18,60.8,-1.059,0.533,-0.676,-9.617,-0.839,-34.939,3.674,0,-0.786,-0.644,35.238,18,-1.306,-0.156,-2.231,-39.709,-45.295,187.14,0.72,0.17,42.78540663,-86.09064385,189.57
,0.1,5.21,60.8,-1.092,0.558,-0.665,-9.525,-0.857,-35.598,3.674,0,-0.775,-0.649,35.163,18,-1.307,-0.153,-2.269,-40.584,-45.368,187.115,0.72,0.17,42.78540865,-86.09064651,189.55
,0.12,6.24,60.8,-1.129,0.585,-0.654,-9.45,-0.881,-36.286,3.674,0,-0.769,-0.659,35.095,18,-1.31,-0.151,-2.31,-41.472,-45.528,187.089,0.72,0.17,42.78541064,-86.09064921,189.53
,0.14,7.31,60.8,-1.155,0.607,-0.647,-9.43,-0.894,-36.749,3.674,0,-0.777,-0.684,35.043,18,-1.319,-0.154,-2.364,-42.442,-45.966,187.061,0.72,0.17,42.78541266,-86.0906521,189.51
,0.16,8.33,60.8,-1.177,0.619,-0.643,-9.439,-0.896,-37.135,3.673,0,-0.786,-0.708,34.993,18,-1.327,-0.157,-2.416,-43.365,-46.383,187.034,0.72,0.17,42.78541459,-86.09065486,189.49
,0.18,9.36,60.8,-1.197,0.625,-0.639,-9.477,-0.883,-37.465,3.673,0,-0.77,-0.707,34.943,18,-1.336,-0.159,-2.468,-44.289,-46.8,187.008,0.72,0.17,42.78541642,-86.09065771,189.46
,0.2,10.38,60.8,-1.213,0.624,-0.638,-9.53,-0.849,-37.758,3.673,0,-0.748,-0.699,34.894,18,-1.345,-0.162,-2.519,-45.213,-47.217,186.981,0.72,0.17,42.78541825,-86.09066056,189.42
,0.22,11.45,60.8,-1.228,0.613,-0.637,-9.591,-0.788,-38.053,3.673,0,-0.743,-0.699,34.833,18,-1.351,-0.163,-2.57,-46.191,-47.584,186.956,0.72,0.171,42.78542013,-86.0906636,189.4
,0.24,12.46,60.8,-1.24,0.591,-0.639,-9.648,-0.707,-38.333,3.673,0,-0.77,-0.718,34.758,18,-1.354,-0.161,-2.614,-47.14,-47.8,186.938,0.72,0.173,42.78542185,-86.09066655,189.37
,0.26,13.47,60.8,-1.248,0.558,-0.642,-9.703,-0.611,-38.615,3.672,0,-0.797,-0.736,34.684,18,-1.357,-0.159,-2.658,-48.089,-48.015,186.92,0.72,0.175,42.78542358,-86.09066949,189.35
,0.28,14.48,60.8,-1.254,0.517,-0.648,-9.758,-0.509,-38.902,3.672,0,-0.806,-0.715,34.609,18,-1.36,-0.157,-2.701,-49.038,-48.231,186.902,0.72,0.177,42.78542521,-86.09067251,189.34
,0.3,15.54,60.8,-1.258,0.466,-0.655,-9.817,-0.405,-39.22,3.672,0,-0.812,-0.685,34.531,18,-1.363,-0.155,-2.747,-50.034,-48.457,186.884,0.72,0.179,42.78542692,-86.09067569,189.32
,0.32,16.55,60.8,-1.261,0.411,-0.662,-9.88,-0.309,-39.532,3.672,0,-0.824,-0.687,34.456,18,-1.363,-0.15,-2.785,-50.984,-48.555,186.867,0.72,0.179,42.78542849,-86.09067875,189.31
,0.34,17.55,60.8,-1.265,0.353,-0.669,-9.957,-0.214,-39.839,3.672,0,-0.844,-0.734,34.382,18,-1.358,-0.141,-2.815,-51.935,-48.477,186.852,0.72,0.177,42.78543003,-86.09068185,189.29
,0.36,18.55,60.8,-1.27,0.293,-0.676,-10.052,-0.116,-40.129,3.672,0,-0.864,-0.781,34.307,18,-1.353,-0.132,-2.844,-52.886,-48.399,186.837,0.72,0.175,42.78543155,-86.09068495,189.27
,0.38,19.6,60.8,-1.276,0.232,-0.682,-10.175,-0.008,-40.417,3.672,0,-0.844,-0.761,34.229,18,-1.348,-0.122,-2.876,-53.885,-48.317,186.821,0.72,0.173,42.78543306,-86.09068827,189.26
,0.4,20.6,60.8,-1.283,0.175,-0.686,-10.31,0.098,-40.676,3.672,0,-0.82,-0.734,34.154,18,-1.344,-0.113,-2.905,-54.836,-48.239,186.806,0.72,0.171,42.78543449,-86.09069143,189.25
,0.42,21.6,60.8,-1.291,0.122,-0.689,-10.456,0.207,-40.926,3.672,0,-0.808,-0.722,34.102,18,-1.339,-0.102,-2.912,-55.774,-48.118,186.794,0.72,0.17,42.78543586,-86.09069463,189.23
,0.44,22.6,60.8,-1.3,0.076,-0.691,-10.606,0.321,-41.183,3.672,0,-0.81,-0.728,34.077,18,-1.333,-0.089,-2.889,-56.698,-47.944,186.786,0.72,0.17,42.7854372,-86.09069785,189.22
,0.46,23.6,60.8,-1.309,0.033,-0.69,-10.749,0.44,-41.448,3.672,0,-0.811,-0.734,34.052,18,-1.328,-0.076,-2.866,-57.622,-47.77,186.778,0.72,0.17,42.78543852,-86.09070109,189.21
,0.48,24.64,60.8,-1.323,-0.009,-0.687,-10.912,0.606,-41.798,3.672,0,-0.768,-0.752,34.026,18,-1.323,-0.062,-2.842,-58.591,-47.587,186.77,0.72,0.17,42.78543982,-86.09070455,189.2
,0.5,25.64,60.8,-1.335,-0.041,-0.683,-11.047,0.774,-42.126,3.672,0,-0.724,-0.769,34.001,18,-1.317,-0.049,-2.819,-59.515,-47.413,186.762,0.72,0.17,42.78544106,-86.09070784,189.2
,0.52,26.64,60.8,-1.346,-0.062,-0.678,-11.133,0.91,-42.36,3.672,0,-0.717,-0.762,33.983,18,-1.315,-0.036,-2.761,-60.405,-47.298,186.753,0.72,0.17,42.78544223,-86.09071118,189.19
,0.54,27.63,60.8,-1.356,-0.075,-0.673,-11.196,1.042,-42.579,3.673,0,-0.748,-0.728,33.97,18,-1.314,-0.023,-2.668,-61.263,-47.243,186.743,0.72,0.17,42.78544336,-86.09071454,189.19
,0.56,28.68,60.8,-1.369,-0.083,-0.668,-11.241,1.175,-42.792,3.673,0,-0.778,-0.696,33.957,18,-1.313,-0.01,-2.571,-62.163,-47.185,186.734,0.72,0.17,42.78544453,-86.09071808,189.18
,0.58,29.67,60.8,-1.38,-0.086,-0.663,-11.267,1.297,-42.962,3.673,0,-0.753,-0.719,33.945,18,-1.313,0.002,-2.478,-63.02,-47.13,186.724,0.72,0.17,42.78544555,-86.09072151,189.17
,0.6,30.67,60.8,-1.392,-0.084,-0.657,-11.274,1.415,-43.084,3.673,0,-0.728,-0.742,33.932,18,-1.312,0.015,-2.385,-63.877,-47.075,186.715,0.72,0.17,42.78544658,-86.09072494,189.16
,0.62,31.67,60.8,-1.402,-0.076,-0.653,-11.265,1.528,-43.16,3.673,0,-0.748,-0.747,33.941,18,-1.314,0.023,-2.333,-64.682,-47.066,186.707,0.72,0.17,42.78544752,-86.09072842,189.15
,0.64,32.71,60.8,-1.412,-0.063,-0.649,-11.239,1.636,-43.226,3.673,0,-0.808,-0.736,33.967,18,-1.319,0.027,-2.314,-65.484,-47.094,186.699,0.72,0.17,42.78544848,-86.09073209,189.14
,0.66,33.71,60.8,-1.419,-0.048,-0.646,-11.199,1.727,-43.251,3.673,0,-0.856,-0.728,33.991,18,-1.323,0.031,-2.296,-66.247,-47.122,186.693,0.72,0.17,42.78544936,-86.09073562,189.13
,0.68,34.71,60.8,-1.424,-0.032,-0.644,-11.138,1.805,-43.232,3.673,0,-0.825,-0.735,34.016,18,-1.326,0.035,-2.277,-67.01,-47.149,186.686,0.72,0.17,42.78545018,-86.09073925,189.12
,0.7,35.71,60.8,-1.428,-0.014,-0.642,-11.053,1.866,-43.201,3.673,0,-0.794,-0.743,34.041,18,-1.33,0.039,-2.259,-67.773,-47.177,186.679,0.72,0.17,42.78545099,-86.09074288,189.12
,0.72,36.76,60.8,-1.429,0.005,-0.641,-10.945,1.909,-43.148,3.673,0,-0.804,-0.732,34.059,18,-1.333,0.032,-2.22,-68.476,-47.239,186.672,0.721,0.171,42.78545173,-86.09074668,189.11
,0.74,37.76,60.8,-1.43,0.023,-0.641,-10.825,1.93,-43.065,3.673,0,-0.837,-0.712,34.072,18,-1.333,0.018,-2.172,-69.088,-47.317,186.666,0.723,0.173,42.7854524,-86.09075029,189.11
,0.76,38.76,60.8,-1.431,0.039,-0.64,-10.69,1.939,-42.931,3.673,0,-0.856,-0.697,34.084,18,-1.334,0.005,-2.124,-69.7,-47.394,186.66,0.725,0.175,42.78545303,-86.09075391,189.1
,0.78,39.76,60.8,-1.43,0.054,-0.64,-10.549,1.944,-42.755,3.673,0,-0.789,-0.711,34.097,18,-1.335,-0.008,-2.076,-70.312,-47.472,186.654,0.727,0.177,42.78545358,-86.09075756,189.09
,0.8,40.81,60.8,-1.428,0.066,-0.639,-10.396,1.956,-42.513,3.673,0,-0.719,-0.727,34.11,18,-1.336,-0.022,-2.025,-70.954,-47.554,186.647,0.729,0.179,42.78545416,-86.09076139,189.09
,0.82,41.81,60.8,-1.425,0.076,-0.639,-10.253,1.976,-42.22,3.673,0,0.112,-0.372,34.096,18,-1.307,-0.052,-1.984,-71.46,-46.609,186.64,0.731,0.179,42.7854546,-86.09076506,189.08
,0.84,42.81,60.8,-1.42,0.084,-0.639,-10.124,1.997,-41.842,3.673,0,1.271,0.141,34.071,18,-1.264,-0.09,-1.947,-71.921,-45.224,186.632,0.733,0.177,42.78545503,-86.09076874,189.07
