Elapsed_Time,Time (s),Distance [feet],Logger Temperature [∞F],AccelerometerX [g],AccelerometerY [g],AccelerometerZ [g],GyroX [deg/s],GyroY [deg/s],GyroZ [deg/s],Int Batt Voltage [V],RPM [rpm],BrakePressure_0 [bar],BrakePressure_1 [bar],GPS_Speed [mph],GPS_Nsat [#],GPS_LatAcc [g],GPS_LonAcc [g],GPS_Slope [deg],GPS_Heading [deg],GPS_Gyro [deg/s],GPS_Altitude [m],GPS_PosAccuracy [#],GPS_SpdAccuracy [#],GPS_Latitude [∞],GPS_Longitude [∞],GPS_Elevation [cm]
 00.19.689,0,0,63.789,-0.887,0.467,-0.733,-9.639,-0.356,-30.294,3.685,0,-0.786,-0.69,34.619,18,-1.147,-0.204,-1.837,-35.962,-40.816,187.147,0.72,0.18,42.78539966,-86.09063125,189.58
,0.02,1.01,63.787,-0.91,0.471,-0.723,-9.591,-0.423,-31.152,3.685,0,-0.801,-0.72,34.545,18,-1.131,-0.18,-1.851,-36.77,-40.293,187.126,0.72,0.18,42.7854018,-86.09063363,189.57
,0.04,2.02,63.784,-0.935,0.472,-0.712,-9.528,-0.463,-31.976,3.685,0,-0.817,-0.72,34.47,18,-1.134,-0.168,-1.868,-37.643,-40.357,187.1,0.72,0.184,42.78540389,-86.09063609,189.54
,0.06,3.02,63.782,-0.959,0.47,-0.703,-9.458,-0.48,-32.725,3.685,0,-0.832,-0.72,34.395,18,-1.136,-0.155,-1.886,-38.516,-40.421,187.074,0.72,0.188,42.78540597,-86.09063855,189.5
,0.08,4.02,63.779,-0.984,0.467,-0.694,-9.395,-0.474,-33.439,3.685,0,-0.821,-0.729,34.321,18,-1.139,-0.143,-1.903,-39.389,-40.485,187.048,0.72,0.192,42.78540801,-86.09064106,189.48
,0.1,5.02,63.777,-1.007,0.464,-0.686,-9.326,-0.446,-34.092,3.685,0,-0.789,-0.745,34.246,18,-1.142,-0.13,-1.92,-40.263,-40.549,187.023,0.72,0.196,42.78541001,-86.09064361,189.46
,0.12,6.02,63.774,-1.03,0.461,-0.68,-9.272,-0.396,-34.653,3.684,0,-0.757,-0.76,34.172,18,-1.145,-0.117,-1.937,-41.139,-40.668,186.998,0.72,0.2,42.78541202,-86.09064617,189.44
,0.14,7.02,63.772,-1.051,0.459,-0.675,-9.225,-0.331,-35.181,3.684,0,-0.726,-0.761,34.11,18,-1.175,-0.109,-1.951,-42.074,-41.814,186.995,0.724,0.21,42.78541394,-86.09064882,189.44
,0.16,8.01,63.769,-1.069,0.458,-0.673,-9.196,-0.258,-35.647,3.684,0,-0.696,-0.761,34.048,18,-1.205,-0.101,-1.965,-43.009,-42.96,186.992,0.728,0.22,42.78541585,-86.09065147,189.44
,0.18,9,63.767,-1.086,0.459,-0.671,-9.197,-0.183,-36.051,3.684,0,-0.699,-0.769,33.986,18,-1.234,-0.093,-1.978,-43.944,-44.105,186.989,0.732,0.23,42.78541773,-86.09065418,189.44
,0.2,10,63.764,-1.098,0.461,-0.671,-9.229,-0.106,-36.424,3.684,0,-0.729,-0.784,33.924,18,-1.264,-0.085,-1.992,-44.879,-45.251,186.987,0.736,0.241,42.78541954,-86.09065694,189.43
,0.22,10.99,63.762,-1.11,0.465,-0.671,-9.286,-0.025,-36.769,3.684,0,-0.757,-0.797,33.863,18,-1.293,-0.077,-2.006,-45.816,-46.381,186.983,0.74,0.25,42.78542136,-86.0906597,189.43
,0.24,11.98,63.759,-1.118,0.472,-0.672,-9.376,0.063,-37.121,3.684,0,-0.726,-0.766,33.832,18,-1.318,-0.084,-2.029,-46.788,-47.211,186.967,0.74,0.244,42.78542308,-86.09066256,189.41
,0.26,12.97,63.757,-1.126,0.482,-0.672,-9.542,0.189,-37.628,3.684,0,-0.696,-0.735,33.801,18,-1.342,-0.091,-2.052,-47.76,-48.041,186.952,0.74,0.238,42.78542479,-86.09066543,189.4
,0.28,13.96,63.754,-1.13,0.494,-0.672,-9.663,0.268,-38.007,3.684,0,-0.699,-0.729,33.77,18,-1.367,-0.098,-2.075,-48.731,-48.87,186.936,0.74,0.232,42.78542645,-86.09066834,189.38
,0.3,14.95,63.751,-1.132,0.506,-0.671,-9.788,0.337,-38.429,3.683,0,-0.73,-0.745,33.739,18,-1.391,-0.105,-2.098,-49.703,-49.7,186.92,0.74,0.226,42.78542805,-86.0906713,189.36
,0.32,15.94,63.749,-1.135,0.517,-0.668,-9.913,0.397,-38.885,3.683,0,-0.759,-0.76,33.708,18,-1.416,-0.113,-2.123,-50.675,-50.52,186.904,0.74,0.22,42.78542965,-86.09067425,189.35
,0.34,16.92,63.746,-1.139,0.529,-0.665,-10.038,0.45,-39.37,3.683,0,-0.744,-0.761,33.677,18,-1.429,-0.133,-2.194,-51.651,-51.148,186.891,0.74,0.218,42.78543113,-86.09067728,189.33
,0.36,17.9,63.744,-1.145,0.539,-0.662,-10.163,0.498,-39.887,3.683,0,-0.728,-0.761,33.646,18,-1.443,-0.154,-2.265,-52.628,-51.776,186.878,0.74,0.216,42.78543261,-86.09068032,189.32
,0.38,18.89,63.741,-1.152,0.546,-0.658,-10.297,0.538,-40.4,3.683,0,-0.721,-0.769,33.615,18,-1.457,-0.175,-2.336,-53.604,-52.403,186.865,0.74,0.214,42.78543403,-86.09068338,189.3
,0.4,19.87,63.739,-1.161,0.552,-0.653,-10.446,0.568,-40.884,3.683,0,-0.721,-0.784,33.584,18,-1.471,-0.196,-2.407,-54.58,-53.031,186.852,0.74,0.212,42.78543537,-86.09068648,189.29
,0.42,20.86,63.736,-1.171,0.554,-0.649,-10.611,0.586,-41.362,3.683,0,-0.721,-0.795,33.548,18,-1.484,-0.216,-2.474,-55.555,-53.659,186.839,0.74,0.21,42.78543672,-86.09068958,189.28
