Elapsed_Time,Time (s),Distance [feet],Logger Temperature [∞F],AccelerometerX [g],AccelerometerY [g],AccelerometerZ [g],GyroX [deg/s],GyroY [deg/s],GyroZ [deg/s],Int Batt Voltage [V],RPM [rpm],BrakePressure_0 [bar],BrakePressure_1 [bar],GPS_Speed [mph],GPS_Nsat [#],GPS_LatAcc [g],GPS_LonAcc [g],GPS_Slope [deg],GPS_Heading [deg],GPS_Gyro [deg/s],GPS_Altitude [m],GPS_PosAccuracy [#],GPS_SpdAccuracy [#],GPS_Latitude [∞],GPS_Longitude [∞],GPS_Elevation [cm]
 00.19.687,0,0,62.6,-1.093,0.375,-0.68,-12.051,-1.257,-36.72,3.681,0,-0.906,-0.993,33.66,18,-1.256,-0.199,-2.681,-39.071,-45.167,187.205,0.72,0.201,42.7854001,-86.09063006,189.65
,0.02,0.98,62.6,-1.113,0.399,-0.673,-12.164,-1.072,-37.766,3.681,0,-0.859,-0.712,33.548,18,-1.261,-0.19,-2.693,-39.96,-45.46,187.175,0.72,0.207,42.78540214,-86.09063245,189.62
,0.04,1.96,62.6,-1.131,0.417,-0.668,-12.219,-0.877,-38.735,3.681,0,-0.82,-0.609,33.461,18,-1.273,-0.187,-2.696,-40.871,-46.049,187.148,0.72,0.214,42.78540414,-86.09063489,189.59
,0.06,2.93,62.6,-1.149,0.429,-0.664,-12.231,-0.684,-39.61,3.681,0,-0.788,-0.684,33.399,18,-1.293,-0.189,-2.69,-41.804,-46.934,187.123,0.72,0.222,42.78540609,-86.09063739,189.56
,0.08,3.91,62.6,-1.168,0.438,-0.661,-12.199,-0.502,-40.377,3.681,0,-0.756,-0.758,33.337,18,-1.312,-0.192,-2.684,-42.737,-47.818,187.097,0.72,0.23,42.78540803,-86.09063988,189.53
,0.1,4.88,62.6,-1.188,0.443,-0.659,-12.133,-0.335,-41.017,3.681,0,-0.727,-0.745,33.274,18,-1.331,-0.195,-2.678,-43.669,-48.703,187.072,0.72,0.238,42.78540988,-86.09064247,189.51
,0.12,5.85,62.6,-1.209,0.447,-0.657,-12.035,-0.179,-41.532,3.681,0,-0.698,-0.732,33.212,18,-1.35,-0.198,-2.673,-44.602,-49.588,187.047,0.72,0.246,42.78541172,-86.09064506,189.49
,0.14,6.82,62.6,-1.231,0.451,-0.654,-11.91,-0.029,-41.908,3.681,0,-0.692,-0.738,33.138,18,-1.362,-0.199,-2.658,-45.543,-50.151,187.03,0.72,0.246,42.78541351,-86.0906477,189.47
,0.16,7.78,62.6,-1.252,0.455,-0.651,-11.77,0.116,-42.157,3.681,0,-0.71,-0.766,33.051,18,-1.366,-0.2,-2.634,-46.492,-50.394,187.02,0.72,0.238,42.78541524,-86.09065038,189.47
,0.18,8.74,62.6,-1.272,0.459,-0.648,-11.613,0.257,-42.282,3.681,0,-0.728,-0.793,32.964,18,-1.371,-0.201,-2.61,-47.44,-50.637,187.011,0.72,0.23,42.78541697,-86.09065307,189.47
,0.2,9.7,62.6,-1.291,0.465,-0.644,-11.442,0.395,-42.298,3.681,0,-0.769,-0.746,32.877,18,-1.375,-0.202,-2.586,-48.389,-50.88,187.002,0.72,0.222,42.7854186,-86.09065583,189.45
,0.22,10.66,62.6,-1.306,0.472,-0.641,-11.266,0.529,-42.235,3.681,0,-0.81,-0.699,32.79,18,-1.379,-0.203,-2.561,-49.338,-51.123,186.992,0.72,0.214,42.78542023,-86.09065859,189.44
,0.24,11.62,62.6,-1.32,0.482,-0.637,-11.059,0.682,-42.04,3.681,0,-0.802,-0.661,32.69,18,-1.377,-0.205,-2.57,-50.282,-51.18,186.979,0.72,0.214,42.7854218,-86.09066139,189.42
,0.26,12.56,62.6,-1.331,0.492,-0.633,-10.864,0.82,-41.775,3.681,0,-0.746,-0.634,32.578,18,-1.37,-0.206,-2.611,-51.222,-51.052,186.962,0.72,0.222,42.78542332,-86.09066423,189.4
,0.28,13.5,62.6,-1.336,0.501,-0.63,-10.725,0.912,-41.532,3.681,0,-0.69,-0.607,32.467,18,-1.363,-0.207,-2.653,-52.162,-50.924,186.945,0.72,0.23,42.78542483,-86.09066707,189.38
,0.3,14.45,62.6,-1.34,0.508,-0.628,-10.606,0.99,-41.282,3.681,0,-0.748,-0.656,32.355,18,-1.356,-0.208,-2.694,-53.101,-50.795,186.928,0.72,0.238,42.78542625,-86.09066997,189.37
