Elapsed_Time,Time (s),Distance [feet],Logger Temperature [∞F],AccelerometerX [g],AccelerometerY [g],AccelerometerZ [g],GyroX [deg/s],GyroY [deg/s],GyroZ [deg/s],Int Batt Voltage [V],RPM [rpm],BrakePressure_0 [bar],BrakePressure_1 [bar],GPS_Speed [mph],GPS_Nsat [#],GPS_LatAcc [g],GPS_LonAcc [g],GPS_Slope [deg],GPS_Heading [deg],GPS_Gyro [deg/s],GPS_Altitude [m],GPS_PosAccuracy [#],GPS_SpdAccuracy [#],GPS_Latitude [∞],GPS_Longitude [∞],GPS_Elevation [cm]
 00.20.215,0,0,66.537,-0.925,-0.127,-0.764,-8.86,-0.512,-29.813,3.665,0,4.217,1.574,36.2,18,-1.223,-0.184,-1.58,-37.975,-40.526,187.114,0.68,0.17,42.78539468,-86.0906401,189.58
,0.02,1.06,66.537,-0.941,-0.108,-0.756,-9.037,-0.549,-30.113,3.665,0,9.325,3.252,36.125,18,-1.217,-0.207,-1.57,-38.711,-40.416,187.089,0.68,0.17,42.78539686,-86.09064266,189.54
,0.04,2.11,66.537,-0.958,-0.087,-0.748,-9.186,-0.568,-30.389,3.665,0,14.432,4.93,36.051,18,-1.211,-0.23,-1.56,-39.446,-40.306,187.064,0.68,0.17,42.78539903,-86.09064523,189.51
,0.06,3.16,66.537,-0.974,-0.066,-0.741,-9.304,-0.568,-30.637,3.665,0,17.86,6.163,35.944,18,-1.202,-0.246,-1.552,-40.213,-40.145,187.038,0.68,0.17,42.78540117,-86.09064783,189.47
,0.08,4.2,66.537,-0.991,-0.044,-0.735,-9.39,-0.55,-30.846,3.665,0,20.992,7.317,35.833,18,-1.192,-0.262,-1.546,-40.985,-39.976,187.011,0.68,0.17,42.78540326,-86.09065047,189.44
,0.1,5.24,66.537,-1.008,-0.021,-0.73,-9.456,-0.51,-31.016,3.665,0,23.226,8.082,35.721,18,-1.182,-0.278,-1.539,-41.758,-39.806,186.985,0.68,0.17,42.78540534,-86.09065311,189.4
,0.12,6.28,66.537,-1.024,0.002,-0.725,-9.498,-0.443,-31.146,3.665,0,23.793,8.125,35.609,18,-1.172,-0.293,-1.532,-42.53,-39.637,186.958,0.68,0.17,42.78540734,-86.09065581,189.38
,0.14,7.32,66.537,-1.038,0.027,-0.721,-9.517,-0.352,-31.251,3.666,0,24.36,8.168,35.497,18,-1.162,-0.309,-1.525,-43.302,-39.467,186.931,0.68,0.17,42.78540934,-86.09065851,189.37
,0.16,8.34,66.537,-1.05,0.054,-0.718,-9.52,-0.245,-31.339,3.666,0,23.621,7.972,35.354,18,-1.158,-0.312,-1.528,-44.108,-39.555,186.917,0.68,0.17,42.78541129,-86.09066124,189.36
,0.18,9.36,66.537,-1.06,0.084,-0.716,-9.506,-0.134,-31.425,3.666,0,22.651,7.734,35.204,18,-1.155,-0.314,-1.532,-44.919,-39.688,186.905,0.68,0.17,42.7854132,-86.090664,189.35
,0.2,10.38,66.537,-1.068,0.115,-0.715,-9.487,-0.024,-31.511,3.666,0,21.366,7.297,35.055,18,-1.153,-0.315,-1.537,-45.731,-39.82,186.893,0.68,0.17,42.7854151,-86.09066676,189.34
,0.22,11.4,66.537,-1.074,0.147,-0.714,-9.471,0.083,-31.592,3.666,0,19.497,6.49,34.906,18,-1.15,-0.317,-1.542,-46.542,-39.953,186.88,0.68,0.17,42.78541691,-86.09066956,189.32
,0.24,12.42,66.537,-1.078,0.181,-0.713,-9.459,0.188,-31.67,3.666,0,17.627,5.684,34.757,18,-1.147,-0.318,-1.546,-47.353,-40.086,186.868,0.68,0.17,42.78541872,-86.09067237,189.31
,0.26,13.42,66.537,-1.081,0.216,-0.712,-9.457,0.289,-31.761,3.667,0,14.781,4.628,34.597,18,-1.149,-0.309,-1.618,-48.194,-40.356,186.854,0.68,0.167,42.78542048,-86.0906752,189.29
,0.28,14.41,66.537,-1.082,0.252,-0.712,-9.464,0.379,-31.868,3.667,0,11.762,3.528,34.436,18,-1.151,-0.297,-1.702,-49.039,-40.649,186.839,0.68,0.163,42.7854222,-86.09067806,189.28
,0.3,15.41,66.537,-1.082,0.288,-0.712,-9.475,0.455,-31.997,3.667,0,8.779,2.397,34.274,18,-1.153,-0.286,-1.785,-49.885,-40.942,186.825,0.68,0.159,42.78542391,-86.09068092,189.26
,0.32,16.4,66.537,-1.081,0.327,-0.711,-9.487,0.514,-32.163,3.667,0,5.86,1.207,34.113,18,-1.156,-0.274,-1.869,-50.731,-41.236,186.81,0.68,0.155,42.78542553,-86.09068384,189.25
,0.34,17.4,66.537,-1.08,0.368,-0.71,-9.485,0.571,-32.453,3.667,0,2.942,0.018,33.951,18,-1.158,-0.263,-1.952,-51.576,-41.529,186.795,0.68,0.151,42.78542716,-86.09068675,189.24
,0.36,18.38,66.537,-1.08,0.403,-0.709,-9.471,0.591,-32.74,3.667,0,1.475,-0.541,33.863,18,-1.163,-0.26,-2.011,-52.438,-41.912,186.789,0.68,0.15,42.78542873,-86.09068969,189.23
,0.38,19.37,66.537,-1.082,0.427,-0.709,-9.449,0.589,-33.074,3.667,0,0.265,-0.988,33.789,18,-1.169,-0.258,-2.065,-53.302,-42.311,186.783,0.68,0.15,42.78543026,-86.09069266,189.22
,0.4,20.35,66.537,-1.085,0.444,-0.707,-9.419,0.566,-33.418,3.668,0,-0.572,-1.206,33.714,18,-1.175,-0.255,-2.119,-54.166,-42.71,186.778,0.68,0.15,42.78543179,-86.09069563,189.22
,0.42,21.34,66.537,-1.09,0.455,-0.706,-9.388,0.532,-33.762,3.668,0,-0.716,-0.999,33.64,18,-1.18,-0.253,-2.172,-55.03,-43.108,186.773,0.68,0.15,42.78543322,-86.09069866,189.22
,0.44,22.32,66.537,-1.096,0.461,-0.704,-9.363,0.502,-34.132,3.668,0,-0.859,-0.793,33.565,18,-1.186,-0.251,-2.226,-55.894,-43.507,186.768,0.68,0.15,42.78543464,-86.09070168,189.21
