Elapsed_Time,Time (s),Distance [feet],Logger Temperature [∞F],AccelerometerX [g],AccelerometerY [g],AccelerometerZ [g],GyroX [deg/s],GyroY [deg/s],GyroZ [deg/s],Int Batt Voltage [V],RPM [rpm],BrakePressure_0 [bar],BrakePressure_1 [bar],GPS_Speed [mph],GPS_Nsat [#],GPS_LatAcc [g],GPS_LonAcc [g],GPS_Slope [deg],GPS_Heading [deg],GPS_Gyro [deg/s],GPS_Altitude [m],GPS_PosAccuracy [#],GPS_SpdAccuracy [#],GPS_Latitude [∞],GPS_Longitude [∞],GPS_Elevation [cm]
 00.20.006,0,0,66.003,-0.672,0.415,-0.775,-7.995,-0.545,-22.991,3.678,0,1.405,-0.372,33.912,18,-1.073,-0.375,-2.491,-32.489,-39.136,186.987,0.69,0.164,42.78539353,-86.09064323,189.42
,0.02,0.99,66.003,-0.693,0.457,-0.768,-8.157,-0.552,-24.094,3.678,0,-0.121,-0.845,33.701,18,-1.087,-0.35,-2.525,-33.199,-39.911,186.968,0.69,0.168,42.78539573,-86.09064532,189.41
,0.04,1.96,66.003,-0.712,0.49,-0.763,-8.255,-0.576,-25.041,3.678,0,-0.733,-0.948,33.564,18,-1.1,-0.327,-2.553,-33.956,-40.573,186.957,0.691,0.171,42.78539792,-86.09064744,189.4
,0.06,2.94,66.003,-0.733,0.516,-0.759,-8.318,-0.613,-26.003,3.679,0,-0.735,-0.804,33.477,18,-1.112,-0.305,-2.578,-34.745,-41.16,186.95,0.693,0.173,42.78540004,-86.09064963,189.39
,0.08,3.91,66.003,-0.756,0.537,-0.756,-8.35,-0.662,-26.972,3.679,0,-0.736,-0.675,33.39,18,-1.125,-0.283,-2.604,-35.533,-41.746,186.944,0.695,0.175,42.78540217,-86.09065182,189.38
,0.1,4.88,66.003,-0.781,0.554,-0.752,-8.36,-0.719,-27.913,3.679,0,-0.73,-0.676,33.303,18,-1.137,-0.261,-2.629,-36.321,-42.333,186.937,0.697,0.177,42.78540423,-86.09065409,189.38
,0.12,5.86,66.003,-0.808,0.567,-0.748,-8.355,-0.777,-28.807,3.679,0,-0.723,-0.676,33.216,18,-1.149,-0.239,-2.654,-37.11,-42.92,186.931,0.699,0.179,42.78540627,-86.09065638,189.37
,0.14,6.82,66.003,-0.836,0.578,-0.743,-8.343,-0.822,-29.645,3.68,0,-0.721,-0.695,33.136,18,-1.164,-0.224,-2.642,-37.935,-43.605,186.92,0.7,0.179,42.78540828,-86.0906587,189.36
,0.16,7.79,66.003,-0.864,0.584,-0.737,-8.322,-0.845,-30.402,3.68,0,-0.721,-0.726,33.062,18,-1.181,-0.215,-2.605,-38.786,-44.357,186.907,0.7,0.177,42.78541023,-86.09066109,189.35
,0.18,8.75,66.003,-0.891,0.588,-0.73,-8.299,-0.836,-31.064,3.68,0,-0.719,-0.751,32.987,18,-1.198,-0.205,-2.569,-39.636,-45.109,186.894,0.7,0.175,42.78541218,-86.09066348,189.34
,0.2,9.71,66.003,-0.917,0.588,-0.723,-8.271,-0.795,-31.632,3.681,0,-0.704,-0.724,32.913,18,-1.215,-0.196,-2.532,-40.486,-45.861,186.881,0.7,0.173,42.78541405,-86.09066594,189.33
,0.22,10.67,66.003,-0.939,0.584,-0.716,-8.235,-0.727,-32.126,3.681,0,-0.689,-0.697,32.838,18,-1.232,-0.186,-2.495,-41.336,-46.612,186.868,0.7,0.171,42.7854159,-86.09066843,189.31
,0.24,11.63,66.003,-0.96,0.579,-0.71,-8.196,-0.636,-32.539,3.681,0,-0.7,-0.685,32.756,18,-1.246,-0.173,-2.448,-42.217,-47.273,186.856,0.7,0.17,42.78541773,-86.09067094,189.3
,0.26,12.58,66.003,-0.977,0.572,-0.704,-8.161,-0.528,-32.876,3.681,0,-0.729,-0.682,32.669,18,-1.258,-0.157,-2.393,-43.118,-47.874,186.846,0.7,0.17,42.78541949,-86.09067352,189.28
,0.28,13.53,66.003,-0.993,0.566,-0.699,-8.139,-0.409,-33.151,3.682,0,-0.752,-0.683,32.582,18,-1.27,-0.141,-2.338,-44.018,-48.474,186.836,0.7,0.17,42.78542125,-86.0906761,189.27
,0.3,14.48,66.003,-1.005,0.559,-0.695,-8.138,-0.285,-33.344,3.682,0,-0.725,-0.713,32.495,18,-1.282,-0.125,-2.283,-44.919,-49.075,186.825,0.7,0.17,42.78542294,-86.09067875,189.26
,0.32,15.43,66.003,-1.016,0.554,-0.692,-8.164,-0.164,-33.5,3.682,0,-0.698,-0.742,32.408,18,-1.295,-0.109,-2.228,-45.82,-49.675,186.815,0.7,0.17,42.78542461,-86.09068143,189.26
,0.34,16.37,66.003,-1.024,0.551,-0.69,-8.217,-0.053,-33.639,3.683,0,-0.738,-0.746,32.351,18,-1.293,-0.09,-2.169,-46.744,-49.629,186.807,0.7,0.17,42.78542625,-86.09068413,189.25
