Elapsed_Time,Time (s),Distance [feet],Logger Temperature [∞F],AccelerometerX [g],AccelerometerY [g],AccelerometerZ [g],GyroX [deg/s],GyroY [deg/s],GyroZ [deg/s],Int Batt Voltage [V],RPM [rpm],BrakePressure_0 [bar],BrakePressure_1 [bar],GPS_Speed [mph],GPS_Nsat [#],GPS_LatAcc [g],GPS_LonAcc [g],GPS_Slope [deg],GPS_Heading [deg],GPS_Gyro [deg/s],GPS_Altitude [m],GPS_PosAccuracy [#],GPS_SpdAccuracy [#],GPS_Latitude [∞],GPS_Longitude [∞],GPS_Elevation [cm]
 00.19.427,0,0,61.7,-0.903,0.326,-0.697,-10.36,-0.591,-30.8,3.677,0,-0.798,-0.673,35.827,18,-1.399,-0.216,-1.528,-35.036,-47.847,187.097,0.75,0.171,42.78539445,-86.09063932,189.55
,0.02,1.05,61.7,-0.935,0.356,-0.686,-10.439,-0.603,-31.954,3.677,0,-0.791,-0.668,35.752,18,-1.406,-0.2,-1.531,-35.838,-48.191,187.076,0.75,0.175,42.78539664,-86.09064181,189.53
,0.04,2.09,61.7,-0.98,0.382,-0.67,-10.473,-0.612,-33.481,3.677,0,-0.784,-0.663,35.678,18,-1.413,-0.183,-1.535,-36.64,-48.534,187.055,0.75,0.179,42.78539883,-86.0906443,189.5
,0.06,3.13,61.7,-1.013,0.4,-0.659,-10.457,-0.608,-34.544,3.677,0,-0.754,-0.701,35.614,18,-1.411,-0.182,-1.535,-37.505,-48.496,187.028,0.75,0.18,42.78540094,-86.09064689,189.47
,0.08,4.17,61.7,-1.041,0.41,-0.65,-10.42,-0.595,-35.379,3.677,0,-0.719,-0.748,35.552,18,-1.407,-0.183,-1.535,-38.38,-48.391,186.999,0.75,0.18,42.78540304,-86.09064948,189.44
,0.1,5.21,61.7,-1.067,0.415,-0.641,-10.374,-0.572,-36.085,3.677,0,-0.71,-0.758,35.49,18,-1.403,-0.184,-1.535,-39.256,-48.286,186.97,0.75,0.18,42.7854051,-86.09065212,189.41
,0.12,6.24,61.7,-1.091,0.415,-0.634,-10.321,-0.543,-36.694,3.677,0,-0.747,-0.703,35.427,18,-1.399,-0.184,-1.535,-40.131,-48.18,186.942,0.75,0.18,42.78540711,-86.09065481,189.38
,0.14,7.28,61.7,-1.113,0.411,-0.626,-10.253,-0.507,-37.181,3.677,0,-0.784,-0.648,35.365,18,-1.396,-0.185,-1.535,-41.007,-48.075,186.913,0.75,0.18,42.78540912,-86.0906575,189.35
,0.16,8.3,61.7,-1.135,0.402,-0.618,-10.183,-0.459,-37.597,3.677,0,-0.76,-0.644,35.261,18,-1.386,-0.19,-1.526,-41.931,-47.837,186.899,0.75,0.178,42.78541103,-86.09066027,189.34
,0.18,9.32,61.7,-1.153,0.389,-0.611,-10.112,-0.388,-37.923,3.678,0,-0.726,-0.648,35.149,18,-1.376,-0.196,-1.514,-42.864,-47.576,186.888,0.75,0.176,42.78541294,-86.09066304,189.33
